filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd070630.0040.fits,Sco X-1,16:19:54.99,-15:38:25.0,2007-07-01,03:12:15.911,2454282.63352,120.0,1.05,I,J,1210.0,1868.0,2020.0,optical_CD_header_logs/,MULTI_2007xrbs,CD,Sco X-1,True,3.0,2454282.63352,2007-07-01 03:12:16.128,No
rccd070630.0041.fits,Sco X-1,16:19:55.00,-15:38:14.3,2007-07-01,03:15:18.508,2454282.63564,120.0,1.05,V,J,1210.0,1868.0,2020.0,optical_CD_header_logs/,MULTI_2007xrbs,CD,Sco X-1,True,1.0,2454282.63564,2007-07-01 03:15:19.296,No
rccd140921.0001.fits,Sco x-1,16:19:55.07,-15:38:25.2,2014-09-21,23:40:28.609,2456922.48644,300.0,1.29,I,K,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,3.0,2456922.48644,2014-09-21 23:40:28.416,2
rccd140921.0002.fits,Sco x-1,16:19:55.12,-15:38:26.0,2014-09-21,23:46:27.028,2456922.49059,300.0,1.32,R,J,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,2.0,2456922.49059,2014-09-21 23:46:26.976,2
rccd140921.0003.fits,Sco x-1,16:19:55.23,-15:38:26.9,2014-09-21,23:52:25.197,2456922.49474,300.0,1.34,I,K,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,3.0,2456922.49474,2014-09-21 23:52:25.536,2
rccd140921.0004.fits,Sco x-1,16:19:55.34,-15:38:27.9,2014-09-21,23:58:23.774,2456922.49889,300.0,1.37,R,J,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,2.0,2456922.49889,2014-09-21 23:58:24.096,2
rccd140921.0005.fits,Sco x-1,16:19:55.33,-15:38:29.5,2014-09-22,00:04:33.227,2456922.50316,300.0,1.4,I,K,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,3.0,2456922.50316,2014-09-22 00:04:33.024,2
rccd140921.0006.fits,Sco x-1,16:19:55.21,-15:38:29.4,2014-09-22,00:10:32.114,2456922.50732,300.0,1.43,R,J,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,2.0,2456922.50732,2014-09-22 00:10:32.448,2
rccd140921.0010.fits,Sco x-1,16:19:55.08,-15:38:25.4,2014-09-22,00:43:43.502,2456922.53036,300.0,1.65,I,K,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,3.0,2456922.53036,2014-09-22 00:43:43.104,2
rccd140921.0011.fits,Sco x-1,16:19:55.03,-15:38:26.9,2014-09-22,00:49:40.867,2456922.5345,300.0,1.7,R,J,1100,1590,1900,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,2.0,2456922.5345,2014-09-22 00:49:40.800,2
rccd140924.0011.fits,Sco X-1,16:19:54.98,-15:38:24.8,2014-09-25,00:37:00.667,2456925.52571,120.0,1.7,B,K,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,0.0,2456925.52571,2014-09-25 00:37:01.344,1
rccd140924.0012.fits,Sco X-1,16:19:54.96,-15:38:25.0,2014-09-25,00:40:11.675,2456925.52792,120.0,1.73,I,K,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,3.0,2456925.52792,2014-09-25 00:40:12.288,1
rccd140924.0013.fits,Sco X-1,16:19:54.96,-15:38:26.3,2014-09-25,00:43:24.238,2456925.53015,120.0,1.76,B,K,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,0.0,2456925.53015,2014-09-25 00:43:24.960,1
rccd140924.0014.fits,Sco X-1,16:19:54.95,-15:38:27.8,2014-09-25,00:46:37.037,2456925.53238,120.0,1.79,I,K,1040,1590,1960,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,Sco X-1,True,3.0,2456925.53238,2014-09-25 00:46:37.632,1
rccd180303.0104.fits,Sco X-1,16:19:55.00,-15:38:25.6,2018-03-04,07:50:38.091,2458181.82683,120.0,1.24,B,K,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,Sco X-1,True,0.0,2458181.82683,2018-03-04 07:50:38.112,1
rccd180303.0105.fits,Sco X-1,16:19:54.99,-15:38:28.1,2018-03-04,07:53:36.435,2458181.8289,120.0,1.23,I,K,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,Sco X-1,True,3.0,2458181.8289,2018-03-04 07:53:36.960,1
rccd180303.0106.fits,Sco X-1,16:19:55.00,-15:38:29.6,2018-03-04,07:56:35.062,2458181.83096,120.0,1.22,B,K,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,Sco X-1,True,0.0,2458181.83096,2018-03-04 07:56:34.944,1
rccd180303.0107.fits,Sco X-1,16:19:55.00,-15:38:31.0,2018-03-04,07:59:33.448,2458181.83303,120.0,1.21,I,K,1040,1590,1960,opticaldirecs/xrb_ccd/,ccd,Disk,Sco X-1,True,3.0,2458181.83303,2018-03-04 07:59:33.792,1
