filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd180303.0106.fits,Sco X-1,16:19:55.00,-15:38:29.6,2018-03-04,07:56:35.062,2458181.83096,120.0,1.22,B,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,ScoX-1,True,optical
rccd180303.0107.fits,Sco X-1,16:19:55.00,-15:38:31.0,2018-03-04,07:59:33.448,2458181.83303,120.0,1.21,I,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,ScoX-1,True,optical
rccd180303.0104.fits,Sco X-1,16:19:55.00,-15:38:25.6,2018-03-04,07:50:38.091,2458181.82683,120.0,1.24,B,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,ScoX-1,True,optical
rccd180303.0105.fits,Sco X-1,16:19:54.99,-15:38:28.1,2018-03-04,07:53:36.435,2458181.8289,120.0,1.23,I,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,ScoX-1,True,optical
rccd070630.0041.fits,Sco X-1,16:19:55.00,-15:38:14.3,2007-07-01,03:15:18.508,2454282.63564,120.0,1.05,V,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,ScoX-1,True,optical
rccd070630.0040.fits,Sco X-1,16:19:54.99,-15:38:25.0,2007-07-01,03:12:15.911,2454282.63352,120.0,1.05,I,J,1210.0,1868.0,2020.0,other/LOG_temp_archive_2_2.csv,miniarchive,temp_archive_2_2,Disk,YALE-03A-0001,,ScoX-1,True,optical
rccd140921.0002.fits,Sco x-1,16:19:55.12,-15:38:26.0,2014-09-21,23:46:27.028,2456922.49059,300.0,1.32,R,J,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0003.fits,Sco x-1,16:19:55.23,-15:38:26.9,2014-09-21,23:52:25.197,2456922.49474,300.0,1.34,I,K,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0004.fits,Sco x-1,16:19:55.34,-15:38:27.9,2014-09-21,23:58:23.774,2456922.49889,300.0,1.37,R,J,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0001.fits,Sco x-1,16:19:55.07,-15:38:25.2,2014-09-21,23:40:28.609,2456922.48644,300.0,1.29,I,K,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0011.fits,Sco x-1,16:19:55.03,-15:38:26.9,2014-09-22,00:49:40.867,2456922.5345,300.0,1.7,R,J,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0010.fits,Sco x-1,16:19:55.08,-15:38:25.4,2014-09-22,00:43:43.502,2456922.53036,300.0,1.65,I,K,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0006.fits,Sco x-1,16:19:55.21,-15:38:29.4,2014-09-22,00:10:32.114,2456922.50732,300.0,1.43,R,J,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140921.0005.fits,Sco x-1,16:19:55.33,-15:38:29.5,2014-09-22,00:04:33.227,2456922.50316,300.0,1.4,I,K,1100,1590,1900,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
rccd140924.0013.fits,Sco X-1,16:19:54.96,-15:38:26.3,2014-09-25,00:43:24.238,2456925.53015,120.0,1.76,B,K,1040,1590,1960,xrb_ccd_reduced_2014/LOG_2014.20140102thru20141231.csv,opticaldirecs/xrb_ccd_reduced_2014/,2014,Disk,,,ScoX-1,True,optical
