filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
binir070630.0103.fits,Sco X-1,16:19:55.00,-15:38:24.9,2007-07-01,03:12:13.075,2454282.63349,12.03,1.05,I,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63349,2007-07-01 03:12:13.536,1
binir070630.0104.fits,Sco X-1,16:19:54.99,-15:38:24.9,2007-07-01,03:12:40.174,2454282.63381,12.03,1.05,I,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63381,2007-07-01 03:12:41.184,1
binir070630.0105.fits,Sco X-1,16:19:54.99,-15:38:24.9,2007-07-01,03:13:07.656,2454282.63412,12.02,1.05,I,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63412,2007-07-01 03:13:07.968,1
binir070630.0106.fits,Sco X-1,16:19:54.99,-15:38:24.8,2007-07-01,03:13:35.091,2454282.63444,12.03,1.05,I,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63444,2007-07-01 03:13:35.616,1
binir070630.0107.fits,Sco X-1,16:19:55.00,-15:38:24.6,2007-07-01,03:14:02.191,2454282.63475,12.03,1.05,I,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63475,2007-07-01 03:14:02.400,1
binir070630.0108.fits,Sco X-1,16:19:55.00,-15:38:14.4,2007-07-01,03:15:15.722,2454282.63561,12.03,1.05,V,J,1210,1868,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63561,2007-07-01 03:15:16.704,1
binir070630.0109.fits,Sco X-1,16:19:55.01,-15:38:14.3,2007-07-01,03:15:42.849,2454282.63592,12.02,1.05,V,J,1210,1908,1980,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63592,2007-07-01 03:15:43.488,1
binir070630.0110.fits,Sco X-1,16:19:55.01,-15:38:14.3,2007-07-01,03:16:10.322,2454282.63624,12.03,1.05,V,J,1170,1868,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63624,2007-07-01 03:16:11.136,1
binir070630.0111.fits,Sco X-1,16:19:55.00,-15:38:14.3,2007-07-01,03:16:37.764,2454282.63656,12.02,1.05,V,J,1250,1828,2020,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63656,2007-07-01 03:16:38.784,1
binir070630.0112.fits,Sco X-1,16:19:55.03,-15:38:14.2,2007-07-01,03:17:04.817,2454282.63687,12.03,1.05,V,J,1210,1828,2060,IR_CD_header_logs/LOG_MULTI.20070630thru20070709.csv,IR_CD_header_logs/,MULTI,CD,YALE-03A-0001,Sco X-1,True,1.0,2454282.63687,2007-07-01 03:17:05.568,1
