filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
ir100820.0159,V1408 Aql,19:59:24.1,+11:42:32,2010-08-21,02:24:05.2,2455429.6001,100.0,1.35,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100823.0302,V1408 Aql,19:59:24.1,+11:42:29,2010-08-24,05:47:48.3,2455432.7415,100.0,2.18,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100823.0301,V1408 Aql,19:59:24.2,+11:42:31,2010-08-24,05:45:51.8,2455432.7402,100.0,2.15,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100823.0300,V1408 Aql,19:59:24.1,+11:42:31,2010-08-24,05:43:55.4,2455432.7388,100.0,2.13,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100823.0299,V1408 Aql,19:59:24.1,+11:42:32,2010-08-24,05:41:59.1,2455432.7375,100.0,2.1,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100821.0160,V1408 Aql,19:59:24.2,+11:42:32,2010-08-22,04:01:54.6,2455430.668,100.0,1.44,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100821.0159,V1408 Aql,19:59:24.2,+11:42:31,2010-08-22,03:59:58.5,2455430.6667,100.0,1.43,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100821.0158,V1408 Aql,19:59:24.2,+11:42:31,2010-08-22,03:58:01.8,2455430.6653,100.0,1.43,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100821.0157,V1408 Aql,19:59:24.2,+11:42:31,2010-08-22,03:56:05.2,2455430.6639,100.0,1.42,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
ir100821.0156,V1408 Aql,19:59:24.2,+11:42:32,2010-08-22,03:54:09.1,2455430.6626,100.0,1.42,H,H,,,,missingreplog_V1408Aql.csv,,,Data replog,,,V1408Aql,True,IR
