filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,log name,Location,prop name help,Physical loc,OWNER,full path,proper name,xrb,source
rccd170902.0026.fits,V4641,18:19:21.56,-25:24:25.0,2017-09-03,01:31:17.414,2457999.5634,20.0,1.05,B,K,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0034.fits,V4641,18:19:21.51,-25:24:26.1,2017-09-03,01:38:41.922,2457999.56852,15.0,1.06,V,H,1080,1550,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0033.fits,V4641,18:19:21.53,-25:24:26.3,2017-09-03,01:37:50.780,2457999.56792,15.0,1.06,V,H,1040,1630,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0032.fits,V4641,18:19:21.51,-25:24:26.1,2017-09-03,01:36:59.545,2457999.56735,15.0,1.06,V,H,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0027.fits,V4641,18:19:21.50,-25:24:25.7,2017-09-03,01:32:13.743,2457999.56403,20.0,1.05,B,K,1040,1630,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0031.fits,V4641,18:19:21.51,-25:24:26.1,2017-09-03,01:35:58.591,2457999.56663,15.0,1.06,I,J,1080,1550,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0030.fits,V4641,18:19:21.51,-25:24:26.2,2017-09-03,01:35:07.302,2457999.56603,15.0,1.05,I,J,1040,1630,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170902.0029.fits,V4641,18:19:21.53,-25:24:25.9,2017-09-03,01:34:16.081,2457999.56546,15.0,1.05,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170904.0025.fits,V4641,18:19:21.59,-25:24:24.7,2017-09-05,01:08:08.715,2458001.54732,15.0,1.03,I,J,1040,1590,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170904.0023.fits,V4641,18:19:21.59,-25:24:25.0,2017-09-05,01:06:06.484,2458001.54589,20.0,1.03,B,K,1040,1630,1920,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
rccd170904.0024.fits,V4641,18:19:21.59,-25:24:24.8,2017-09-05,01:07:02.666,2458001.54656,20.0,1.03,B,K,1080,1550,1960,xrb_ccd/LOG_ccd.20150620thru20190801.csv,opticaldirecs/xrb_ccd/,ccd,Disk,,,V4641,True,optical
