filename,OBJECT,RA,DEC,DATE-OBS,TIME-OBS,JD,EXPTIME,SECZ,CCDFLTID,IRFLTID,TILT1,TILT2,TILT3,Location,prop name help,Physical loc,proper name,xrb,filter num,datetimeobs,nice time,in filt pattern
rccd000728.0058.fits,V4641 Sgr,18:19:21.99,-25:24:14.3,2000-07-29,07:16:20.2,2451754.803,20.0,2.11,B,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,0.0,2451754.803,2000-07-29 07:16:19.200,No
rccd000728.0059.fits,V4641 Sgr,18:19:22.01,-25:24:14.3,2000-07-29,07:19:22.0,2451754.8051,20.0,2.15,V,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,1.0,2451754.8051,2000-07-29 07:19:20.640,No
rccd000728.0060.fits,V4641 Sgr,18:19:22.00,-25:24:14.3,2000-07-29,07:21:03.6,2451754.8063,10.0,2.18,R,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,2.0,2451754.8063,2000-07-29 07:21:04.320,No
rccd000728.0061.fits,V4641 Sgr,18:19:22.01,-25:24:14.8,2000-07-29,07:22:32.9,2451754.8073,20.0,2.2,I,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,3.0,2451754.8073,2000-07-29 07:22:30.720,No
rccd000728.0062.fits,V4641 Sgr,18:19:21.93,-25:24:04.6,2000-07-29,07:24:02.1,2451754.8084,20.0,2.22,B,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,0.0,2451754.8084,2000-07-29 07:24:05.760,No
rccd000728.0063.fits,V4641 Sgr,18:19:21.99,-25:24:04.6,2000-07-29,07:25:23.8,2451754.8093,20.0,2.25,V,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,1.0,2451754.8093,2000-07-29 07:25:23.520,No
rccd000728.0064.fits,V4641 Sgr,18:19:21.96,-25:24:04.3,2000-07-29,07:26:47.7,2451754.8103,10.0,2.27,R,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,2.0,2451754.8103,2000-07-29 07:26:49.920,No
rccd000728.0065.fits,V4641 Sgr,18:19:21.93,-25:24:04.5,2000-07-29,07:28:03.5,2451754.8112,20.0,2.29,I,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,3.0,2451754.8112,2000-07-29 07:28:07.680,No
rccd000728.0066.fits,V4641 Sgr,18:19:21.90,-25:23:54.1,2000-07-29,07:29:32.0,2451754.8122,20.0,2.32,B,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,0.0,2451754.8122,2000-07-29 07:29:34.080,No
rccd000728.0067.fits,V4641 Sgr,18:19:21.90,-25:23:54.1,2000-07-29,07:30:54.1,2451754.8131,20.0,2.34,V,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,1.0,2451754.8131,2000-07-29 07:30:51.840,No
rccd000728.0068.fits,V4641 Sgr,18:19:21.91,-25:23:54.1,2000-07-29,07:32:18.8,2451754.8141,10.0,2.37,R,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,2.0,2451754.8141,2000-07-29 07:32:18.240,No
rccd000728.0069.fits,V4641 Sgr,18:19:21.89,-25:23:54.1,2000-07-29,07:33:37.4,2451754.815,20.0,2.39,I,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,3.0,2451754.815,2000-07-29 07:33:36.000,No
rccd000729.0051.fits,V4641 Sgr,18:19:21.99,-25:24:26.7,2000-07-30,07:14:30.4,2451755.8017,20.0,2.14,B,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,0.0,2451755.8017,2000-07-30 07:14:26.880,No
rccd000729.0052.fits,V4641 Sgr,18:19:22.02,-25:24:26.7,2000-07-30,07:16:33.1,2451755.8032,20.0,2.17,V,H,1320,2225,1855,opticaldirecs/xrb-archive_V4641_optical_rccdfiles/,rccdfiles,Disk,V4641,True,1.0,2451755.8032,2000-07-30 07:16:36.480,No
