,Number,Start (MJD),End (MJD),Mean Q (mag),Peak Time (MJD),Peak Brightness (mag),First HM (MJD),Second HM (MJD),Duration (MJD),HM Duration (MJD),HM Asymmetrty Factor,HM Tailing Factor
0,1,,52747.0,18.36509932,52709.327043236946,15.71975963562727,,52735.25108180472,,,,
2,2,,53184.0,18.41057968,53150.68953838984,16.190976232290268,,53173.374428458614,,,,
3,3,,53510.0,18.49627411,53469.80434497464,16.61361499503255,,53504.150083850065,,,,
4,4,53940.0,53977.0,18.51343353,53955.46211433852,17.64190218038857,53952.43566737531,53966.617867819885,37.0,14.182200444578484,3.6860892052459024,2.343044602622951
5,5,54227.0,54288.0,18.5171618,54253.68819892425,17.45572898676619,54237.68468436561,54281.30033274187,61.0,43.61564837626065,1.7253793669167037,1.362689683458352
6,6,54320.0,54397.0,18.50612705,54362.88257417484,16.900470407679677,54348.88601715352,54382.05114821299,77.0,33.16513105946797,1.3695206620425713,1.1847603310212858
7,7,54590.0,54700.0,18.50489723,54638.3051377297,17.431632122490555,54609.24195755252,54685.333622832666,110.0,76.09166528014612,1.6181465626355753,1.3090732813177877
10,10,55375.0,,18.52299187,55459.38485684965,16.620914871804416,55422.42167747754,,,,,
11,11,56439.0,56525.0,18.51910386,56472.62014885603,15.669915288686752,56455.464067533736,56503.7327284538,86.0,48.26866092006094,1.81350152247931,1.406750761239655
12,12,56830.0,56910.0,18.52208131,56857.816884374595,16.62841271981597,56841.517871576085,56873.98555749009,80.0,32.46768591400178,0.9920032161069973,0.9960016080534986
13,13,57590.0,57663.0,18.46065513,57616.26773494312,15.599280960857868,57598.77851376114,57647.57504846986,73.0,48.796534708715626,1.7900919201025718,1.395045960051286
14,14,57890.0,57971.0,18.41527361,57940.39504441813,16.57852674089372,57923.42033340077,57956.73441060199,81.0,33.314077201219334,0.9625710957401984,0.9812855478700993
